,Date,Open,High,Low,Close,Volume
0,2022-01-03,462.0,463.0,460.1,461.3,977697
1,2022-01-03,461.25,462.3,460.3,462.0,473512
2,2022-01-03,462.15,464.4,461.95,463.25,791875
3,2022-01-03,463.3,465.0,463.05,465.0,621872
4,2022-01-03,465.0,466.0,464.15,465.95,766735
5,2022-01-03,465.95,466.25,465.05,465.3,488036
6,2022-01-03,465.4,467.0,465.15,467.0,610549
7,2022-01-03,466.95,467.2,466.05,467.0,524826
8,2022-01-03,467.1,467.1,466.25,466.5,329653
9,2022-01-03,466.4,466.65,465.3,466.25,303354
10,2022-01-03,466.25,466.35,465.6,466.25,170975
11,2022-01-03,466.25,466.45,465.8,466.3,156075
12,2022-01-03,466.4,467.65,466.3,467.65,492109
13,2022-01-03,467.65,468.0,466.7,467.35,462858
14,2022-01-03,467.35,467.75,467.05,467.3,252293
15,2022-01-03,467.3,467.7,467.0,467.5,179723
16,2022-01-03,467.5,468.5,467.2,467.95,415191
17,2022-01-03,467.95,468.35,467.5,467.7,311972
18,2022-01-03,467.7,469.5,467.7,469.15,634608
19,2022-01-03,469.25,470.25,469.0,470.0,527649
20,2022-01-03,470.0,471.25,469.5,470.85,622084
21,2022-01-03,470.9,472.0,470.35,471.3,640208
22,2022-01-03,471.35,471.4,470.25,470.9,473575
23,2022-01-03,470.6,471.15,470.05,470.2,742670
24,2022-01-03,470.3,471.65,470.2,470.8,1153538
25,2022-01-04,472.5,475.8,471.05,475.2,2000274
26,2022-01-04,475.35,476.9,472.5,474.35,2255172
27,2022-01-04,474.75,477.8,474.75,477.45,968830
28,2022-01-04,477.55,478.5,476.9,478.25,828155
29,2022-01-04,478.25,481.3,478.1,481.0,1903833
30,2022-01-04,481.1,483.3,480.95,482.4,2108000
31,2022-01-04,482.5,482.7,481.05,482.55,895600
32,2022-01-04,482.5,483.2,481.3,481.45,760815
33,2022-01-04,481.45,482.35,480.65,481.5,668701
34,2022-01-04,481.35,481.95,481.0,481.7,432751
35,2022-01-04,481.75,482.5,481.5,482.2,440114
36,2022-01-04,482.25,483.0,481.85,482.9,430600
37,2022-01-04,482.8,482.8,481.25,481.55,440564
38,2022-01-04,481.45,482.5,481.25,482.05,570836
39,2022-01-04,482.05,482.5,481.5,482.2,355500
40,2022-01-04,482.25,482.4,481.45,481.8,318124
41,2022-01-04,481.75,481.8,480.15,480.6,713514
42,2022-01-04,480.6,481.15,477.8,477.9,1043690
43,2022-01-04,477.85,479.6,477.6,479.6,732224
44,2022-01-04,479.45,481.65,479.35,481.25,671383
45,2022-01-04,481.4,482.0,481.3,481.35,493009
46,2022-01-04,481.6,482.6,481.1,482.45,573452
47,2022-01-04,482.35,482.75,481.6,482.7,495148
48,2022-01-04,482.6,484.0,482.2,483.0,1412085
49,2022-01-04,482.8,484.7,482.8,483.5,1784297
50,2022-01-05,481.9,485.7,479.15,484.9,2888332
51,2022-01-05,484.7,485.4,482.8,485.15,1306975
52,2022-01-05,485.1,489.7,485.1,489.45,2120937
53,2022-01-05,489.3,489.75,488.1,488.8,972766
54,2022-01-05,488.75,490.3,487.7,487.95,1057692
55,2022-01-05,487.85,488.75,487.35,488.4,545976
56,2022-01-05,488.4,488.5,486.2,487.0,604547
57,2022-01-05,487.0,487.95,486.6,487.1,391723
58,2022-01-05,487.05,488.9,486.8,488.6,488535
59,2022-01-05,488.7,488.8,488.0,488.6,261276
60,2022-01-05,488.4,488.5,487.65,487.9,246170
61,2022-01-05,487.9,488.65,487.35,488.6,247669
